"Date","Open","High","Low","Close","Volume"
"Thu Apr 20 2023 09:15:00 GMT+0530 (India Standard Time)","17730.75","17775.00","17721.35","17771.95","54300.00"
"Thu Apr 20 2023 09:25:00 GMT+0530 (India Standard Time)","17771.95","17779.70","17765.00","17774.00","28800.00"
"Thu Apr 20 2023 09:35:00 GMT+0530 (India Standard Time)","17774.00","17780.00","17770.00","17774.00","17450.00"
"Thu Apr 20 2023 09:45:00 GMT+0530 (India Standard Time)","17774.00","17775.20","17750.00","17755.10","19750.00"
"Thu Apr 20 2023 09:55:00 GMT+0530 (India Standard Time)","17755.10","17755.10","17735.05","17741.15","36100.00"
"Thu Apr 20 2023 10:05:00 GMT+0530 (India Standard Time)","17741.40","17742.25","17725.00","17728.00","31350.00"
"Thu Apr 20 2023 10:15:00 GMT+0530 (India Standard Time)","17728.00","17740.00","17727.55","17737.40","11150.00"
"Thu Apr 20 2023 10:25:00 GMT+0530 (India Standard Time)","17735.00","17737.40","17691.95","17691.95","34000.00"
"Thu Apr 20 2023 10:35:00 GMT+0530 (India Standard Time)","17692.35","17705.00","17690.70","17695.15","19650.00"
"Thu Apr 20 2023 10:45:00 GMT+0530 (India Standard Time)","17695.15","17708.25","17691.00","17702.00","9300.00"
"Thu Apr 20 2023 10:55:00 GMT+0530 (India Standard Time)","17702.00","17712.85","17700.05","17704.00","15100.00"
"Thu Apr 20 2023 11:05:00 GMT+0530 (India Standard Time)","17704.00","17709.75","17692.00","17706.00","8200.00"
"Thu Apr 20 2023 11:15:00 GMT+0530 (India Standard Time)","17706.30","17719.65","17706.00","17717.40","8100.00"
"Thu Apr 20 2023 11:25:00 GMT+0530 (India Standard Time)","17717.40","17725.35","17713.75","17723.60","10000.00"
"Thu Apr 20 2023 11:35:00 GMT+0530 (India Standard Time)","17723.60","17728.00","17712.30","17713.00","14100.00"
"Thu Apr 20 2023 11:45:00 GMT+0530 (India Standard Time)","17713.00","17727.00","17705.90","17718.40","8650.00"
"Thu Apr 20 2023 11:55:00 GMT+0530 (India Standard Time)","17718.40","17724.95","17717.10","17719.90","3850.00"
"Thu Apr 20 2023 12:05:00 GMT+0530 (India Standard Time)","17719.90","17721.20","17710.45","17713.65","6700.00"
"Thu Apr 20 2023 12:15:00 GMT+0530 (India Standard Time)","17713.35","17725.00","17710.00","17718.25","8050.00"
"Thu Apr 20 2023 12:25:00 GMT+0530 (India Standard Time)","17718.25","17724.40","17712.00","17714.00","14600.00"
"Thu Apr 20 2023 12:35:00 GMT+0530 (India Standard Time)","17714.00","17715.00","17699.30","17703.40","27700.00"
"Thu Apr 20 2023 12:45:00 GMT+0530 (India Standard Time)","17703.40","17708.95","17695.00","17706.00","17600.00"
"Thu Apr 20 2023 12:55:00 GMT+0530 (India Standard Time)","17706.00","17707.50","17694.00","17695.75","22050.00"
"Thu Apr 20 2023 13:05:00 GMT+0530 (India Standard Time)","17695.75","17698.10","17674.55","17685.00","59400.00"
"Thu Apr 20 2023 13:15:00 GMT+0530 (India Standard Time)","17685.00","17694.80","17682.05","17688.20","16150.00"
"Thu Apr 20 2023 13:25:00 GMT+0530 (India Standard Time)","17688.20","17693.30","17680.05","17682.40","12600.00"
"Thu Apr 20 2023 13:35:00 GMT+0530 (India Standard Time)","17682.40","17693.15","17681.00","17688.95","13000.00"
"Thu Apr 20 2023 13:45:00 GMT+0530 (India Standard Time)","17685.80","17703.80","17683.05","17695.25","14750.00"
